Page,Section,Button/Link Text,Target URL,UTM Campaign,Full UTM String
Home,Hero,Explore Portfolio,/zh/portfolio,home_hero_portfolio,?utm_source=internal&utm_medium=button&utm_campaign=home_hero_portfolio
Home,Hero,Contact,/zh/contact,home_hero_contact,?utm_source=internal&utm_medium=button&utm_campaign=home_hero_contact
Home,Courses,Tableau Course,https://live.rookiesavior.net/course/tableau,home_courses_tableau,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=home_courses_tableau
Home,Courses,AI Course,https://live.rookiesavior.net/course/AI-NotubookLM,home_courses_ai,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=home_courses_ai
Home,Social,LinkedIn,https://tw.linkedin.com/in/jasonb0604,home_social_linkedin,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=home_social_linkedin
Home,Social,Instagram,https://www.instagram.com/chartbar0713/,home_social_instagram,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=home_social_instagram
Home,Social,Medium,https://medium.com/@jasonb0604,home_social_medium,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=home_social_medium
Home,Highlights,View Original,[Social Platforms],home_featured_media,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=home_featured_media
Portfolio,Project Card,Online Preview / Download,[Variable],portfolio_card_external,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=portfolio_card_external
Portfolio,Project Card,Buy Data,/zh/reports#data,portfolio_card_buy,?utm_source=internal&utm_medium=button&utm_campaign=portfolio_card_buy
Dashboards,Display Card,Buy Related Data,/zh/reports#data,dashboard_card_buy,?utm_source=internal&utm_medium=button&utm_campaign=dashboard_card_buy
Dashboards,Footer,Back to Home,/zh,dashboard_footer_home,?utm_source=internal&utm_medium=button&utm_campaign=dashboard_footer_home
Dashboards,Partner,Platform Logos,[Looker/Tableau/MS],dash_platform_[name],?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=dash_platform_[name]
Experience,Timeline,Partner Companies,[Multiple Platforms],exp_timeline_partner,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=exp_timeline_partner
Experience,Footer,Partner Logos,[Multiple Platforms],exp_footer_partner,?utm_source=jason-by-tsai-portfolio.vercel.app&utm_medium=referral&utm_campaign=exp_footer_partner
Services,Card,前往報告區 / 立即選購,/zh/reports,services_card_reports,?utm_source=internal&utm_medium=button&utm_campaign=services_card_reports
Services,Card,預約諮詢 / 聯絡討論,/zh/contact,services_card_contact,?utm_source=internal&utm_medium=button&utm_campaign=services_card_contact
Reports,Card,Unlock Now (Internal),[Internal Logic],reports_card_buy,?utm_source=internal&utm_medium=button&utm_campaign=reports_card_buy
Footer,Navigation,Portfolio,/zh/portfolio,footer_nav_portfolio,?utm_source=internal&utm_medium=button&utm_campaign=footer_nav_portfolio
Footer,Navigation,Services,/zh/services,footer_nav_services,?utm_source=internal&utm_medium=button&utm_campaign=footer_nav_services
Footer,Navigation,Experience,/zh/experience,footer_nav_experience,?utm_source=internal&utm_medium=button&utm_campaign=footer_nav_experience
Footer,Navigation,Contact,/zh/contact,footer_nav_contact,?utm_source=internal&utm_medium=button&utm_campaign=footer_nav_contact
